gene_symbol,dataset_count,significant_dataset_count,mean_log2_fold_change,direction_consistency,log2fc_GSE278320_primary,log2fc_GSE287860,log2fc_GSE288000_NTC,padj_GSE278320_primary,padj_GSE287860,padj_GSE288000_NTC
DDX17,2,2.0,-0.3669429214968333,1.0,,-0.17373344724766554,-0.560152395746001,,0.016761861911133043,5.902276131416473e-05
DDX18,2,2.0,0.9883247436549789,1.0,,0.7885983741106563,1.1880511131993017,,3.263493566028578e-19,7.873647478614167e-17
DDX19A,2,2.0,0.5606244276137169,1.0,,0.34878957228334173,0.7724592829440922,,0.0028072759166516983,0.00021892295871157234
DDX20,2,2.0,0.5715489238342383,1.0,,0.4349528146603659,0.7081450330081106,,3.460908024175758e-06,4.084661476628401e-05
DDX21,2,2.0,1.6485483702410009,1.0,,1.3968904916090545,1.9002062488729474,,4.553831599052546e-81,5.837058981462207e-51
DDX23,2,2.0,0.4575802383027874,1.0,,0.3666698123026842,0.5484906643028905,,3.284884108723839e-06,1.4138001683498375e-05
DDX24,2,2.0,0.6093649828768103,1.0,,0.44444347721378946,0.7742864885398312,,2.5578950316300756e-09,1.2656378862599718e-09
DDX27,2,2.0,0.28709258113948516,1.0,,0.2225834841742993,0.351601678104671,,0.004963873308658495,0.01849773825612582
DDX31,2,2.0,0.7164500844811397,1.0,,0.5462387146052312,0.886661454357048,,9.412443985924214e-08,8.968056610644091e-08
DDX39A,2,2.0,0.8598220517320132,1.0,,0.7910800922135749,0.9285640112504514,,1.6647836506446717e-25,4.4534361607219653e-10
DDX41,2,2.0,0.7071189254796665,1.0,,0.3555883900216523,1.0586494609376806,,1.5252993712338603e-06,1.8629376847834126e-15
DDX42,2,2.0,0.2958351924316511,1.0,,0.23633565925898012,0.35533472560432205,,0.0010866009686646245,0.008676083800062403
DDX46,2,2.0,0.30438707355353933,1.0,,0.16474633360786417,0.44402781349921455,,0.045016306367526814,0.001306055257101926
DDX49,2,2.0,0.7682192746930003,1.0,,0.5584536480880096,0.9779849012979911,,4.1788557401772034e-11,5.501036674824558e-09
DDX5,2,2.0,0.39841487872744136,1.0,,0.4670073197346874,0.3298224377201953,,2.126467321122577e-09,0.03511204413290728
DDX51,2,2.0,0.42646925389038426,1.0,,0.4468040502997748,0.4061344574809937,,2.1462750001345516e-05,0.018423531679728544
DDX54,2,2.0,0.5871302350265704,1.0,,0.4044027448901549,0.7698577251629858,,2.305971382364664e-06,1.275986620107169e-05
DDX55,2,2.0,0.5906232700995278,1.0,,0.5081331661666331,0.6731133740324224,,3.828780674010678e-06,1.4235442178487222e-05
DDX56,2,2.0,0.886866672049992,1.0,,0.7199829580114668,1.0537503860885173,,2.47926454122985e-19,1.4048325408785224e-16
DDX60L,2,2.0,-0.5483857685161901,1.0,,-0.4397218633166445,-0.6570496737157357,,1.8816255172028222e-05,0.0027184340447268533
RPL32P1,2,2.0,-2.676230367306366,1.0,,-3.1959508243771495,-2.1565099102355823,,0.00011084924586237493,0.030645784317392327
RPL7P21,2,2.0,1.0676663975048406,1.0,,0.9559244546994724,1.1794083403102087,,0.03572896954713514,0.03578023555226248
RPL23P2,2,2.0,0.18286850650129516,0.5,2.03451250465534,-1.6687754916527497,,0.0048024390791892,0.04015777566157466,
RPL32P3,2,2.0,0.6308142937733893,0.5,1.5556581007814874,-0.2940295132347088,,1.3374316039284028e-14,0.010165715589962236,
EIF4BP3,3,1.0,-0.6896395837558112,1.0,-1.3805791221101518,-0.34034060125106386,-0.34799902790621806,0.0373592820908334,0.37673333382899865,0.38231625725003765
EIF4BP7,3,1.0,-0.8933577078303307,1.0,-2.4658371069664375,-0.17632621097709064,-0.03790980554746436,0.0011376428287352,0.6376925569965353,0.965135533216363
RPL10AP6,3,1.0,-0.5602388737330712,1.0,-1.6354174341328669,-0.02292949522759711,-0.02236969183874978,0.0067057326174419,0.9454856878038492,0.975011284522932
RPL10P16,3,1.0,-0.7759386371929574,1.0,-1.3775558746393448,-0.4654604151280198,-0.4847996218115078,0.2023990102797449,0.0249444342752387,0.08480280952603085
RPL14P1,3,1.0,-0.9807909173757006,1.0,-2.6858922942303,-0.24692484082546584,-0.009555617071336042,0.0002248046790816,0.43022347977300346,0.9830935026909835
RPL15P2,3,1.0,-1.287259736790975,1.0,-2.195727599712584,-0.34535656699156536,-1.3206950436687759,0.042471376158814,0.40276321752548017,0.39371132271996434
