gene_symbol,log2FoldChange,lfcSE,padj,context
CYB561,-0.1499610311057901,0.3143896030058172,0.7286126199572811,GSE278320 VacV
SPAG9,-0.9937829709933454,0.1846113888755187,5.449577819897298e-07,GSE278320 VacV
CELSR3,0.9084325295030802,0.2951280182466716,0.0055107592675337,GSE278320 VacV
AASS,1.1394591435403625,0.4110341237539305,0.0131604095839508,GSE278320 VacV
SS18L2,0.9268884663152032,0.2884830458927521,0.00367090594706,GSE278320 VacV
MPND,-2.146485267566768,0.5863925917560316,0.0008458275535449,GSE278320 VacV
MGST1,-2.0988887899017694,0.5318223275716257,0.0003030445957493,GSE278320 VacV
CRY1,1.5221546670656314,0.2874044220666578,8.435037387945912e-07,GSE278320 VacV
NFIX,-1.147903699817235,0.3974835042515618,0.0095329945637734,GSE278320 VacV
ST3GAL1,-2.3214272574528128,0.4346456080717337,6.743796521803619e-07,GSE278320 VacV
MMP25,-0.0440805926593904,0.3244561885020548,0.9284129876033972,GSE278320 VacV
PKD1,-1.010839565558957,0.2734274097042518,0.0007461751003647,GSE278320 VacV
MAPK8IP2,-0.5180925230962395,0.3629308534893692,0.2343172217861641,GSE278320 VacV
MED24,-0.0999637081641054,0.3018659966012769,0.816240077182994,GSE278320 VacV
RHOBTB2,-0.2717180491746476,0.2711777143822352,0.424874207160724,GSE278320 VacV
HEATR5B,-0.1742996355656967,0.2238040316711327,0.548972372570158,GSE278320 VacV
SEC62,0.1451053190806959,0.2373813226221927,0.6469073142602989,GSE278320 VacV
RPS20,-0.3970254568492106,0.4045135773086258,0.4359753847320042,GSE278320 VacV
CSDE1,-1.3079834136569148,0.1639356889977994,3.611612342973863e-14,GSE278320 VacV
UBE3C,-0.3376773539829146,0.1651829368391526,0.0755826003620687,GSE278320 VacV
REV3L,0.961053500621349,0.242866395443208,0.0002916825048044,GSE278320 VacV
TENM1,2.9794372598493557,0.7927191230382878,0.0005986907687734,GSE278320 VacV
MASP2,1.596941703494238,0.3739985651273935,8.700346583572319e-05,GSE278320 VacV
FAM76A,0.747479661873044,0.2318750515784805,0.0035506477759059,GSE278320 VacV
TRAF3IP3,2.0606868026704253,0.4205571946407663,5.718613353331066e-06,GSE278320 VacV
POMT2,-0.3464152995976097,0.2542604330079508,0.2588750966538137,GSE278320 VacV
VTA1,-0.8404351521146401,0.4094283319119712,0.0742768013514856,GSE278320 VacV
MLXIPL,1.3652317419668616,0.7133649929512518,0.0982957166134772,GSE278320 VacV
BAZ1B,0.1851220077564305,0.1618444253329518,0.3535369387419529,GSE278320 VacV
RANBP9,-0.0459750607252297,0.2598159678635224,0.9053749312034504,GSE278320 VacV
SPRTN,0.4964853071781948,0.2211539104191104,0.0488582826136794,GSE278320 VacV
METTL13,-0.746094066981309,0.238013789344886,0.0046544156883453,GSE278320 VacV
DYRK4,1.8595655970713003,0.4465563057297558,0.0001326336773874,GSE278320 VacV
ZNF207,1.3912354769214277,0.1483472126420233,2.885817452658809e-19,GSE278320 VacV
UQCRC1,-2.334531243937206,0.2120947135752733,2.315229367091033e-26,GSE278320 VacV
