gene,k,pooled_log2FC,p,Q,I2,tau2,pi_lo,pi_hi,direction_concordance,loso_direction_robust,class,meta_FDR
RPS15AP10,2,-0.661711895196091,0.6800482954549845,3.848867115930987,74.01832877365749,3.9646542257595088,,,0.5,False,III_context_dependent,0.8405322206269742
RPSAP54,3,-0.15387897528453645,0.6879902750117792,0.7463805587206788,0.0,0.0,-1.8025700222897763,1.4948120717207034,0.6666666666666666,False,III_context_dependent,0.8468915821845506
DHX33,4,0.1801559410836382,0.6930025808089626,87.12345297481019,96.55661030690854,0.7750730901515487,-2.975637420550312,3.3359493027175886,0.75,False,III_context_dependent,0.8509019030185997
RPL10AP2,3,-0.19649085236733005,0.6973336333086819,2.1621489658688393,7.4994354426306264,0.06399486516700675,-2.6275501908629315,2.2345684861282717,0.6666666666666666,False,III_context_dependent,0.851906327845619
RPL37P6,2,0.2993612267954613,0.6956639654700558,0.09647358545869045,0.0,0.0,,,0.5,False,III_context_dependent,0.851906327845619
EIF4H,4,0.10727238085406289,0.702971788931654,55.559430828317154,94.60037665023923,0.2821543945181773,-1.8056342558710456,2.0201790175791716,0.5,False,III_context_dependent,0.8544895178743163
DDX54,4,-0.15406874801716455,0.7135917824261103,75.85721707477558,96.04520160943582,0.6655163263453855,-3.0738105549120793,2.76567305887775,0.75,False,III_context_dependent,0.8630723553034003
RPS15AP24,2,0.29249908937087044,0.7123488314886146,0.4284593909161444,0.0,0.0,,,0.5,False,III_context_dependent,0.8630723553034003
RPL36AL,4,-0.09537034246606657,0.7295937863158,37.96718653087578,92.09844006334171,0.25711665241848536,-1.9324972129654219,1.7417565280332887,0.5,False,III_context_dependent,0.8787422270051455
RPS26P3,3,0.31724305865221053,0.73017137625376,0.7493979908806175,0.0,0.0,-3.6404151692363342,4.274901286540755,0.6666666666666666,True,III_context_dependent,0.8787422270051455
EIF4HP1,3,0.18849985841182348,0.7338080396225801,7.286468690380033,72.55186174558739,0.663852847876468,-4.0515420781537985,4.428541794977446,0.6666666666666666,False,III_context_dependent,0.88093291885384
RPL4P5,3,-0.2329335219550655,0.7407145988138866,9.915794042535609,79.83015791352024,1.1536556971963379,-5.75839199171731,5.292524947807178,0.6666666666666666,False,III_context_dependent,0.8848437941495936
RPL9P7,3,-0.11890075151430235,0.7401071764469664,1.1253546403151635,0.0,0.0,-1.6611709657951488,1.423369462766544,0.6666666666666666,True,III_context_dependent,0.8848437941495936
EIF2AK3-DT,3,0.3716374805542603,0.7442379523912054,27.7865294252932,92.80226771257205,3.6101753422544083,-9.160263620877755,9.903538581986277,0.6666666666666666,False,III_context_dependent,0.8853643819564065
EIF3D,4,-0.08220355573515466,0.744801376986008,32.99431563772504,90.90752469928529,0.20935668826688952,-1.7454245142127047,1.5810174027423956,0.75,False,III_context_dependent,0.8853643819564065
RPL18AP7,3,-0.22196121858153894,0.7547243977765058,4.712102430881203,57.55610092656702,0.8708729804386561,-5.268435801897434,4.824513364734356,0.6666666666666666,False,III_context_dependent,0.8876937554352133
RPS19P1,2,0.287158957236396,0.7559124144221507,0.14406730155500672,0.0,0.0,,,0.5,False,III_context_dependent,0.8876937554352133
RPS27L,4,-0.025643272393440292,0.7523066993527318,3.488972373967215,14.014796380036046,0.004508342272934299,-0.3610908278257523,0.30980428303887175,0.75,False,III_context_dependent,0.8876937554352133
EIF4G3,4,0.06010546461993483,0.7599138400956822,26.177350328809823,88.53971100085592,0.13068187964629852,-1.2496036658855643,1.369814595125434,0.75,False,III_context_dependent,0.8884036673674964
RPL21P11,2,-0.17892739403616742,0.7620122177832547,0.2637837943528435,0.0,0.0,,,0.5,False,III_context_dependent,0.8884036673674964
RPL5P4,3,-0.13858219082859138,0.7607415115470947,1.4884287372098706,0.0,0.0,-2.096733098880878,1.8195687172236952,0.6666666666666666,False,III_context_dependent,0.8884036673674964
RPS6KA1,4,-0.11429325634980471,0.7742012560572233,82.19194617407766,96.35000734299905,0.5893799017036835,-2.8668773954984754,2.6382908827988656,0.5,False,III_context_dependent,0.9004499021289049
RPS10P3,3,0.10299312170942548,0.7768932631378355,1.138179919637997,0.0,0.0,-1.4608411533065138,1.6668273967253648,0.6666666666666666,False,III_context_dependent,0.9014192167986848
