gene_symbol,k_studies,pooled_log2FoldChange,pooled_SE,tau2,Q,I2,z,p,n_up,n_down,direction_concordance,log2fc_GSE287860,padj_GSE287860,log2fc_GSE288000,padj_GSE288000,meta_FDR,is_translation_factor
RPS27P16,1,2.55537545418689,1.433086208809089,0.0,,,1.783127517716074,0.07456554793950823,1,0,1.0,2.55537545418689,0.1352713767115028,,,,True
EIF2S2P3,1,-1.5709067937513856,0.894482184447242,0.0,,,-1.756219208236271,0.0790509861297598,0,1,1.0,-1.5709067937513856,0.1422115064132827,,,,True
RPS20P4,1,3.3535467218386,1.9527390103721256,0.0,,,1.7173553168272744,0.08591427060401872,1,0,1.0,,,3.3535467218386,,,True
EIF4EP1,1,-1.530806004434604,0.9006124646502671,0.0,,,-1.6997388605198336,0.08918005627555708,0,1,1.0,-1.530806004434604,0.1574660689608782,,,,True
RPL23AP87,1,0.8961547484954175,0.5422329852889407,0.0,,,1.6527116070186727,0.0983895710144318,1,0,1.0,0.8961547484954175,0.171097352489412,,,,True
RPL17-C18ORF32,1,0.8933768009424413,0.5406226564709635,0.0,,,1.6524960436807443,0.09843347098838622,1,0,1.0,0.8933768009424413,0.1711594564154705,,,,True
RPL6P8,1,-3.273893588704428,1.9881001754167327,0.0,,,-1.6467447813680594,0.09961051548213139,0,1,1.0,-3.273893588704428,,,,,True
RPL39P38,1,3.2717362435931556,1.9963856448842423,0.0,,,1.6388297781929115,0.10124871560445736,1,0,1.0,3.2717362435931556,,,,,True
EIF4A2P1,1,2.7902446934356355,1.7200214161756,0.0,,,1.6222150882514212,0.10475730214664819,1,0,1.0,,,2.7902446934356355,0.174412940604199,,True
DDX39BP2,1,-2.6682320211010313,1.6468807840576527,0.0,,,-1.6201731460652127,0.10519508824600929,0,1,1.0,-2.6682320211010313,,,,,True
RPL18P11,1,-4.164797000758837,2.646080181449033,0.0,,,-1.5739496595594966,0.11549908794366216,0,1,1.0,-4.164797000758837,,,,,True
DDX11L2,1,0.8859532333727735,0.5733338171088455,0.0,,,1.5452659636237336,0.12228194467870672,1,0,1.0,0.8859532333727735,0.2044617562188908,,,,True
RPL31P63,1,-2.3825524812544288,1.54671031676242,0.0,,,-1.5403999413682044,0.12346289570405271,0,1,1.0,,,-2.3825524812544288,,,True
RPL3P6,1,2.491343636011492,1.636889651266509,0.0,,,1.5219985257307156,0.12800945009442144,1,0,1.0,2.491343636011492,,,,,True
RPL23P8,1,-0.6790313166148757,0.4705161474461689,0.0,,,-1.4431626210927495,0.14897466639207502,0,1,1.0,-0.6790313166148757,0.2403692502579856,,,,True
RPS15AP17,1,-1.8698919058125096,1.3279745691456324,0.0,,,-1.408078098224069,0.1591079455779958,0,1,1.0,-1.8698919058125096,0.2536651193665508,,,,True
RPL23AP18,1,-1.8467490823309614,1.3258049498188913,0.0,,,-1.392926676418905,0.16364196461541547,0,1,1.0,-1.8467490823309614,0.2597645339597478,,,,True
RPS12P31,1,2.0360975200138647,1.464907403816036,0.0,,,1.3899155091372308,0.16455453549260002,1,0,1.0,,,2.0360975200138647,0.2520008581217691,,True
DHX33-DT,1,-2.795268303734772,2.011979508079032,0.0,,,-1.3893125116386484,0.16473774093531823,0,1,1.0,,,-2.795268303734772,,,True
RPS2P35,1,-0.9919724960494728,0.7302089860544242,0.0,,,-1.3584775249198848,0.17431220943848502,0,1,1.0,-0.9919724960494728,0.27342219766814,,,,True
RPL12P42,1,-0.6112411490348194,0.45105922155096073,0.0,,,-1.3551239390097722,0.17537807278264406,0,1,1.0,-0.6112411490348194,0.2747848302176389,,,,True
RPL37P12,1,-2.3250357368305252,1.726992461072694,0.0,,,-1.3462917697894095,0.17820843903824068,0,1,1.0,-2.3250357368305252,,,,,True
RPL32P27,1,1.9659579840866408,1.468560666354378,0.0,,,1.3386971537015386,0.18066928326409137,1,0,1.0,1.9659579840866408,,,,,True
