gene,full_meta_log2FC,full_meta_p,removed_study,loo_meta_log2FC,loo_meta_p,loo_k,direction_preserved,full_meta_FDR,significance_preserved
RPS3A,-0.4704559536099072,0.01510647525724633,GSE284044,-0.4704559536099072,0.01510647525724633,3,True,0.09393128845851885,True
RPS3A,-0.4704559536099072,0.01510647525724633,GSE287860,-0.8005583907851463,0.04237306505998277,2,True,0.09393128845851885,True
RPS3A,-0.4704559536099072,0.01510647525724633,GSE288000,-0.6762072143718726,0.22864944078052962,2,True,0.09393128845851885,False
RPS3AP20,-0.3790506774527216,0.5269290793579686,GSE278320,-0.1070568635393295,0.8472437451198832,1,True,0.7560964600254876,False
RPS3AP20,-0.3790506774527216,0.5269290793579686,GSE284044,-0.3790506774527216,0.5269290793579686,2,True,0.7560964600254876,False
RPS3AP20,-0.3790506774527216,0.5269290793579686,GSE287860,-1.6986401058842038,0.22691866867556132,1,True,0.7560964600254876,False
RPS3AP20,-0.3790506774527216,0.5269290793579686,GSE288000,-0.3790506774527216,0.5269290793579686,2,True,0.7560964600254876,False
RPS3AP21,0.1186042914665101,0.8055566812584734,GSE278320,-0.348701120982151,0.5418690756875748,2,False,0.912838762641027,False
RPS3AP21,0.1186042914665101,0.8055566812584734,GSE284044,0.1186042914665101,0.8055566812584734,3,True,0.912838762641027,False
RPS3AP21,0.1186042914665101,0.8055566812584734,GSE287860,0.7315237813214758,0.2501856655755831,2,True,0.912838762641027,False
RPS3AP21,0.1186042914665101,0.8055566812584734,GSE288000,0.12623004683435562,0.8632659458145285,2,True,0.912838762641027,False
RPS3AP25,-0.34382254886122915,0.5258670303018622,GSE278320,-0.17211256615136,0.7737373221562776,1,True,0.7560964600254876,False
RPS3AP25,-0.34382254886122915,0.5258670303018622,GSE284044,-0.34382254886122915,0.5258670303018622,2,True,0.7560964600254876,False
RPS3AP25,-0.34382254886122915,0.5258670303018622,GSE287860,-1.1245314658460366,0.37836311664306777,1,True,0.7560964600254876,False
RPS3AP25,-0.34382254886122915,0.5258670303018622,GSE288000,-0.34382254886122915,0.5258670303018622,2,True,0.7560964600254876,False
RPS3AP26,-0.2686062309525671,0.03639891547776778,GSE278320,-0.2407632935572824,0.06422951195253786,2,True,0.15485503514664364,False
RPS3AP26,-0.2686062309525671,0.03639891547776778,GSE284044,-0.2686062309525671,0.03639891547776778,3,True,0.15485503514664364,True
RPS3AP26,-0.2686062309525671,0.03639891547776778,GSE287860,-0.578768559732951,0.17115817496234553,2,True,0.15485503514664364,False
RPS3AP26,-0.2686062309525671,0.03639891547776778,GSE288000,-0.478057921953048,0.2865791727201821,2,True,0.15485503514664364,False
RPS3AP38,0.08483034285386826,0.9100636694914719,GSE278320,-0.5568290787415012,0.163755827587171,2,False,0.9512518959124221,False
RPS3AP38,0.08483034285386826,0.9100636694914719,GSE284044,0.08483034285386826,0.9100636694914719,3,True,0.9512518959124221,False
RPS3AP38,0.08483034285386826,0.9100636694914719,GSE287860,0.33616862449523216,0.8087309426898784,2,True,0.9512518959124221,False
RPS3AP38,0.08483034285386826,0.9100636694914719,GSE288000,0.6216616477434017,0.545863978261502,2,True,0.9512518959124221,False
RPS3AP47,-0.6799273584483234,0.1140126968780791,GSE278320,-0.5119061766583631,0.2798983172151023,2,True,0.31418271582879753,False
RPS3AP47,-0.6799273584483234,0.1140126968780791,GSE284044,-0.6799273584483234,0.1140126968780791,3,True,0.31418271582879753,False
RPS3AP47,-0.6799273584483234,0.1140126968780791,GSE287860,-0.9224708346432351,0.2524071146876258,2,True,0.31418271582879753,False
RPS3AP47,-0.6799273584483234,0.1140126968780791,GSE288000,-0.757938055046481,0.09643677334294283,2,True,0.31418271582879753,False
RPS3AP49,0.05636433758714264,0.9152004266100999,GSE278320,0.212027065064485,0.7013248303857609,1,True,0.9522366634575031,False
RPS3AP49,0.05636433758714264,0.9152004266100999,GSE284044,0.05636433758714264,0.9152004266100999,2,True,0.9522366634575031,False
RPS3AP49,0.05636433758714264,0.9152004266100999,GSE287860,-1.6593485457855346,0.3659398883501669,1,False,0.9522366634575031,False
RPS3AP49,0.05636433758714264,0.9152004266100999,GSE288000,0.05636433758714264,0.9152004266100999,2,True,0.9522366634575031,False
RPS3AP5,-0.6995490874364464,0.3391527568498932,GSE278320,0.08876616669655377,0.793318566008416,2,False,0.6160639965250869,False
RPS3AP5,-0.6995490874364464,0.3391527568498932,GSE284044,-0.6995490874364464,0.3391527568498932,3,True,0.6160639965250869,False
RPS3AP5,-0.6995490874364464,0.3391527568498932,GSE287860,-1.453712414569256,0.04401575303976421,2,True,0.6160639965250869,True
RPS3AP5,-0.6995490874364464,0.3391527568498932,GSE288000,-0.8188202440385455,0.46593119869662436,2,True,0.6160639965250869,False
RPS3AP6,-0.22274699474799856,0.04976842806322828,GSE278320,-0.21344344885201014,0.09105301804284888,2,True,0.1931015008853257,False
RPS3AP6,-0.22274699474799856,0.04976842806322828,GSE284044,-0.22274699474799856,0.04976842806322828,3,True,0.1931015008853257,True
RPS3AP6,-0.22274699474799856,0.04976842806322828,GSE287860,-0.5418693265209943,0.062286612234528964,2,True,0.1931015008853257,False
RPS3AP6,-0.22274699474799856,0.04976842806322828,GSE288000,-0.1849365789547076,0.12332639321380942,2,True,0.1931015008853257,False
RPS3P6,0.6461139417637164,0.5419398037199881,GSE278320,1.3151472140671712,0.2939484955946359,1,True,0.7707941489859067,False
RPS3P6,0.6461139417637164,0.5419398037199881,GSE284044,0.6461139417637164,0.5419398037199881,2,True,0.7707941489859067,False
RPS3P6,0.6461139417637164,0.5419398037199881,GSE287860,-1.030110221263553,0.6035258233439493,1,False,0.7707941489859067,False
RPS3P6,0.6461139417637164,0.5419398037199881,GSE288000,0.6461139417637164,0.5419398037199881,2,True,0.7707941489859067,False
RPS4X,-0.7452365861082717,0.0056797757906661495,GSE278320,-0.43167682209904484,0.03002337676785259,3,True,0.05101280108283487,True
RPS4X,-0.7452365861082717,0.0056797757906661495,GSE284044,-0.8289362053261783,0.006402961039380055,3,True,0.05101280108283487,True
RPS4X,-0.7452365861082717,0.0056797757906661495,GSE287860,-1.0279499377372472,0.029751506650643234,3,True,0.05101280108283487,True
