gene_symbol,k_studies,pooled_log2FoldChange,pooled_SE,tau2,Q,I2,z,p,n_up,n_down,direction_concordance,log2fc_GSE278320,padj_GSE278320,log2fc_GSE284044,padj_GSE284044,log2fc_GSE287860,padj_GSE287860,log2fc_GSE288000,padj_GSE288000,meta_FDR,is_translation_factor
RPL18AP3,3,-0.27681005570821193,0.1049015279285733,0.0,1.0331364961944967,0.0,-2.638760952049144,0.008320963238500378,0,3,1.0,-0.9048303135379572,0.3184608807168309,,,-0.2377701941424994,0.0807219187673732,-0.3931083205471711,0.2046885330099941,0.045522266944110074,True
RPL19,4,-0.5195489157393287,0.19708161194187318,0.10484167401004735,16.204943825942102,81.48713113588599,-2.6362120271908642,0.008383732764025919,0,4,1.0,-1.969920552251659,1.7967041334507122e-05,-0.436817392078315,0.999899862550801,-0.2684741626638727,0.0010477527435244,-0.23134783720245283,0.091619599103815,0.045774640139778326,True
DHX30,4,0.4252258493685058,0.16182631472037462,0.07168393716458756,11.923111616227207,74.83878289022275,2.627668127419626,0.008597234554737784,4,0,1.0,0.0536306445737988,0.8449365762144221,0.0596314924103976,0.999899862550801,0.5185396114266061,1.9182855298873422e-10,0.8211281496162766,2.024233211265099e-07,0.04672013217659849,True
RPS6,4,-0.2885258976743778,0.10991178244005219,0.02742408177576863,7.9630813902570905,62.3261416909473,-2.6250679523985054,0.008663167602930184,0,4,1.0,-1.132295559347832,0.0019011006521618,-0.168400969932308,0.999899862550801,-0.18995243882669993,0.0275830800418533,-0.2615309650785369,0.0527277916870773,0.04696247679135233,True
RPS6KA3,4,0.4690579409660592,0.18010597846347265,0.08798689639054363,12.140625484895338,75.28957627650712,2.6043440921156815,0.009205029022102507,4,0,1.0,0.9940020750592174,0.0105991463674545,0.3609324032927,0.977556066663073,0.6241287073184127,4.255392005739589e-13,0.0899362760983338,0.6470425203276792,0.049340838711021455,True
RPSAP47,3,-0.9692814153279933,0.3754562470171297,0.0,0.01757903924329371,0.0,-2.581609503180729,0.00983407877437741,0,3,1.0,-0.9818404801074193,0.0305688623759394,,,-0.995931300063308,,-0.7856674006336481,,0.05190481156441241,True
RPS13,4,-0.42270091744920596,0.1654434646812617,0.07429274545473372,14.145287218043816,78.79152290260193,-2.55495687462523,0.010620095489822588,0,4,1.0,-1.3024182717082373,0.0027823620844297,-0.349538097422758,0.894299995836389,-0.1250523120656762,0.1297193042128893,-0.4697298051603299,0.0002012157005178,0.055022994735288454,True
DHX29,4,0.5101462325128285,0.1999581333549759,0.11870654083128805,14.923636478998628,79.89766097410798,2.551265227142278,0.0107332610489626,4,0,1.0,0.9748369892726652,1.563354929906063e-05,0.511981843816693,0.948744834930279,0.1543243184016307,0.1381030562827207,0.5018737298333306,0.0085533908601478,0.05546568265475883,True
RPS2P16,2,2.4429208326870135,0.9576136118923241,0.0,0.09208001859895218,0.0,2.551050655869019,0.010739871468990215,2,0,1.0,,,,,2.713643009203228,0.0760993535811239,2.1310159404489224,0.2069267529855416,0.05547265594886917,True
RPS23,4,-0.5123444838119572,0.20309404347167578,0.09852179263534769,14.225937397228433,78.91175873876351,-2.5226957672119545,0.011645910709977614,0,4,1.0,-1.71333215349277,0.0002903359527768,-0.372338049525405,0.999899862550801,-0.1804606981476473,0.0497624187819203,-0.432013842424075,0.0006500420997185,0.05905872092532195,True
RPS14,4,-0.5144192390595074,0.2048776650100284,0.11779363471468124,16.35696468289466,81.65918886443976,-2.5108605129520947,0.01204372754325242,0,4,1.0,-1.5379706094250634,0.0005082235277387,-0.154601551353004,0.999899862550801,-0.191995821656441,0.0677014219254008,-0.5982760779863542,3.056530177509471e-06,0.06062909412155592,True
RPL7A,4,-0.5833609888590681,0.23423515989847818,0.17529442131977332,31.179121359749924,90.37817658366475,-2.4904928410914375,0.012756606569575125,0,4,1.0,-2.8708626321729707,1.751832353564457e-08,-0.267622039650519,0.894299995836389,-0.1744360844183967,0.0500840540254141,-0.2310863578457867,0.0809809946755966,0.0632979115217019,True
