gene_symbol,direction,k_studies,pooled_log2FoldChange,I2,meta_FDR,is_translation_factor,evidence_rank
TUBB4A,down,4,-1.7687090272285937,78.80837927456044,2.0442193234555387e-06,False,138
ABHD4,down,4,-1.0419023888898418,0.0,7.997431443748948e-46,False,139
IKBKE,up,3,1.309242143515325,77.45277433299347,1.1407789900227075e-09,False,140
MVP,up,3,1.0387402582453396,0.0,3.599044519089491e-53,False,141
PBK,down,4,-1.319211831722621,17.765380359012713,1.8211219320679961e-09,False,142
MAP3K7CL,up,4,2.478944509903651,83.60902505431214,7.090842611916685e-05,False,143
LARP4,up,4,1.0356415239250836,31.110477383742353,2.1975238894234585e-45,False,144
CALCOCO1,down,4,-1.435131862424865,84.8108128559781,5.6333951698718816e-08,False,145
DEPTOR,down,4,-3.4211619094089416,86.62999466918247,0.0001508907256066,False,146
GLP1R,down,4,-1.7264956376075329,17.875791417685072,2.134971873960626e-06,False,147
CDH26,down,3,-2.5003438233956765,24.616768265720356,8.174033470988267e-05,False,148
HSPH1,up,4,1.8873869840255275,94.9613167719406,9.746857339720596e-06,False,149
PLA2G4C,up,3,1.792189622196964,76.0914810057664,5.373569597379414e-06,False,149
AVPI1,down,4,-2.439408970349002,87.00539690863955,7.948238853120476e-05,False,151
BACH1-IT1,up,3,2.4864100376952485,45.991398973668566,9.114630338410012e-05,False,152
VNN2,up,3,1.8776871733999687,83.6646218091228,1.013712179198407e-05,False,153
USB1,up,4,1.35448639527086,83.14642028563188,1.5416228183810544e-08,False,154
AURKB,down,4,-1.0923251859318612,0.0,2.9761851008838215e-17,False,155
CYB561A3,up,3,1.0237830016391072,0.0,7.430187875368348e-38,False,156
SNHG15,up,3,1.630093062764903,88.4936854005696,1.1406853577212004e-06,False,157
KCNJ2,up,3,1.7345567889520153,81.47165784946571,4.0573915985342835e-06,False,158
FRMD3,up,4,1.7463013491772668,0.0,5.656979195216028e-06,False,159
ALDH7A1,down,4,-1.5323448334325556,69.20158253641921,5.6299315116977e-07,False,160
CA11,down,4,-1.1713478407798803,46.05348148769895,1.0171838990402016e-11,False,161
PLCD1,down,4,-1.1237654239151158,25.29279332852377,4.711580418828738e-13,False,162
