gene,mean_abs_enet_coef,enet_selection_freq,mean_perm_importance,mean_abs_enet_coef_norm,mean_perm_importance_norm,ml_importance_score
RPS26P13,0.0,0.0,0.0,0.0,0.0,0.0
RPS25,0.0,0.0,0.0,0.0,0.0,0.0
RPS20P22,0.0,0.0,0.0,0.0,0.0,0.0
RPS24P8,0.0,0.0,0.0,0.0,0.0,0.0
RPS7P11,0.0,0.0,0.0,0.0,0.0,0.0
RPS7P3,0.0,0.0,0.0,0.0,0.0,0.0
RPS24P17,0.0,0.0,0.0,0.0,0.0,0.0
RPL37AP1,0.0,0.0,0.0,0.0,0.0,0.0
RPS23P8,0.0,0.0,0.0,0.0,0.0,0.0
RPS23,0.0,0.0,0.0,0.0,0.0,0.0
RPS21P4,0.0,0.0,0.0,0.0,0.0,0.0
RPS21,0.0,0.0,0.0,0.0,0.0,0.0
RPS20P33,0.0,0.0,0.0,0.0,0.0,0.0
RPS24,0.0,0.0,0.0,0.0,0.0,0.0
RPL30P4,0.0,0.0,0.0,0.0,0.0,0.0
RPL37A,0.0,0.0,0.0,0.0,0.0,0.0
EIF2AK4,0.0,0.0,0.0,0.0,0.0,0.0
EIF4A1P4,0.0,0.0,0.0,0.0,0.0,0.0
EIF4A1P2,0.0,0.0,0.0,0.0,0.0,0.0
EIF4A1P10,0.0,0.0,0.0,0.0,0.0,0.0
EIF4A1,0.0,0.0,0.0,0.0,0.0,0.0
EIF3M,0.0,0.0,0.0,0.0,0.0,0.0
EIF3LP3,0.0,0.0,0.0,0.0,0.0,0.0
EIF3LP2,0.0,0.0,0.0,0.0,0.0,0.0
EIF3L,0.0,0.0,0.0,0.0,0.0,0.0
EIF3K,0.0,0.0,0.0,0.0,0.0,0.0
EIF3J-DT,0.0,0.0,0.0,0.0,0.0,0.0
EIF3I,0.0,0.0,0.0,0.0,0.0,0.0
EIF3H,0.0,0.0,0.0,0.0,0.0,0.0
EIF3G,0.0,0.0,0.0,0.0,0.0,0.0
EIF3F,0.0,0.0,0.0,0.0,0.0,0.0
EIF3D,0.0,0.0,0.0,0.0,0.0,0.0
EIF3CL,0.0,0.0,0.0,0.0,0.0,0.0
EIF2S3B,0.0,0.0,0.0,0.0,0.0,0.0
EIF2S3,0.0,0.0,0.0,0.0,0.0,0.0
EIF2S2P4,0.0,0.0,0.0,0.0,0.0,0.0
EIF2S2P3,0.0,0.0,0.0,0.0,0.0,0.0
EIF2S2,0.0,0.0,0.0,0.0,0.0,0.0
EIF2B5-DT,0.0,0.0,0.0,0.0,0.0,0.0
EIF2B4,0.0,0.0,0.0,0.0,0.0,0.0
EIF2B3,0.0,0.0,0.0,0.0,0.0,0.0
EIF2B2,0.0,0.0,0.0,0.0,0.0,0.0
EIF4A1P7,0.0,0.0,0.0,0.0,0.0,0.0
EIF4A2,0.0,0.0,0.0,0.0,0.0,0.0
EIF4A2P4,0.0,0.0,0.0,0.0,0.0,0.0
RPL10,0.0,0.0,0.0,0.0,0.0,0.0
RPL11P3,0.0,0.0,0.0,0.0,0.0,0.0
RPL11,0.0,0.0,0.0,0.0,0.0,0.0
RPL10P9,0.0,0.0,0.0,0.0,0.0,0.0
RPL10P6,0.0,0.0,0.0,0.0,0.0,0.0
RPL10P3,0.0,0.0,0.0,0.0,0.0,0.0
RPL10P16,0.0,0.0,0.0,0.0,0.0,0.0
