gene,module,meta_FDR,pooled_log2FC,k_studies,direction_concordance,het_class,loso_robust,ml_importance,degree_centrality,external_support_GSE185520,s_meta,s_concord,s_loso,s_ml,s_net,s_module,s_external,final_evidence_score,evidence_tier
RPL14P3,60S ribosomal,0.4850828102399864,-1.1896390765070135,2,1.0,II_conserved_high_het,True,0.3083004387930172,0.0,,0.017002444658488224,1.0,1.0,0.46245065818952585,0.0,1.0,0.0,4.467407428025272,Tier 2 (corroborated)
EIF1AX,other eIF,0.4474945837363804,0.5251896054350786,4,0.75,II_conserved_high_het,True,0.4254643497338075,0.0,0.0,0.0189011835465111,0.75,1.0,0.6381965246007113,0.0,1.0,0.0,4.4486460080677,Tier 2 (corroborated)
DDX24,DHX/DDX helicase,0.004351030783424,0.7211741610431475,4,0.75,II_conserved_high_het,True,0.3238458843750209,0.0,0.0,0.12797458175313475,0.75,1.0,0.48576882656253134,0.0,1.0,0.0,4.4164741075078995,Tier 1 (triangulated)
RPS15P4,40S ribosomal,0.1925768069066349,-1.0099714845294447,3,1.0,II_conserved_high_het,True,0.2713629303158014,0.0,,0.0387506013085342,1.0,1.0,0.4070443954737021,0.0,1.0,0.0,4.41096529421874,Tier 2 (corroborated)
RPL7P48,60S ribosomal,0.5726276523789624,-1.038587956289278,2,1.0,II_conserved_high_het,True,0.2795788214819198,0.0,,0.013096542200341786,1.0,1.0,0.4193682322228797,0.0,1.0,0.0,4.371477819946614,Tier 2 (corroborated)
DHX58,DHX/DDX helicase,0.0001716703851709,-0.4791767446857303,3,1.0,I_conserved_low_het,True,0.0,0.0,0.3333333333333333,0.20407443498668937,1.0,1.0,0.0,0.0,1.0,0.3333333333333333,4.343519420800057,Tier 2 (corroborated)
EIF4E3,eIF4/initiation,0.0307468030778495,-0.5836319266862955,4,0.75,II_conserved_high_het,True,0.0,0.0,1.0,0.08194228727198682,0.75,1.0,0.0,0.0,1.0,1.0,4.329855718179967,Tier 2 (corroborated)
DDX39A,DHX/DDX helicase,0.000248045414329,0.6484964286399547,4,1.0,II_conserved_high_het,True,0.1120155428430451,0.0,0.0,0.1954103488935734,1.0,1.0,0.16802331426456765,0.0,1.0,0.0,4.324572500763069,Tier 1 (triangulated)
EIF3FP3,eIF3 complex,0.253599744613098,-0.6124295274175995,3,1.0,II_conserved_high_het,True,0.2465853206666277,0.0,,0.032270535099111604,1.0,1.0,0.36987798099994157,0.0,1.0,0.0,4.320432299747662,Tier 2 (corroborated)
RPS24P19,40S ribosomal,0.5699485523775782,-0.5803454484502282,3,0.6666666666666666,III_context_dependent,True,0.4281075856979559,0.0,,0.013206941799173312,0.6666666666666666,1.0,0.6421613785469339,0.0,1.0,0.0,4.317340111591801,Tier 2 (corroborated)
DDX58,DHX/DDX helicase,0.1747793227354261,-0.4265912938097804,4,0.75,II_conserved_high_het,True,0.1377244872123194,0.0,0.6666666666666666,0.041033435700543366,0.75,1.0,0.2065867308184791,0.0,1.0,0.6666666666666666,4.307423717554983,Tier 2 (corroborated)
DDX28,DHX/DDX helicase,0.0225404399661703,0.4973152069616363,4,1.0,II_conserved_high_het,True,0.190886349221859,0.0,0.0,0.08925131458231496,1.0,1.0,0.2863295238327885,0.0,1.0,0.0,4.295787334121364,Tier 1 (triangulated)
DDX11-AS1,DHX/DDX helicase,0.009481140501812,1.2533204790502206,3,0.6666666666666666,III_context_dependent,True,0.0,0.0,1.0,0.10963834928678762,0.6666666666666666,1.0,0.0,0.0,1.0,1.0,4.274095873216969,Tier 2 (corroborated)
EIF5,other eIF,0.0186128001816865,0.7871021168853152,4,1.0,II_conserved_high_het,True,0.0,0.11538461538461539,0.3333333333333333,0.09375859331309405,1.0,1.0,0.0,0.13636363636363635,1.0,0.3333333333333333,4.272275271161523,Tier 1 (triangulated)
RPS27P29,40S ribosomal,0.1520922177062149,-0.9136399538499153,2,1.0,I_conserved_low_het,True,0.217558295862681,0.0,,0.04430656949341205,1.0,1.0,0.3263374437940215,0.0,1.0,0.0,4.263441311321573,Tier 2 (corroborated)
EIF3H,eIF3 complex,0.1362197160632433,-0.36753337072138,4,0.75,II_conserved_high_het,True,0.0,0.0,1.0,0.04690125693926752,0.75,1.0,0.0,0.0,1.0,1.0,4.242253142348169,Tier 3 (single-stream)
DHX37,DHX/DDX helicase,0.1854932448659111,0.3995887096476254,4,0.75,II_conserved_high_het,True,0.113336640831956,0.0,0.6666666666666666,0.039632854425580295,0.75,1.0,0.17000496124793402,0.0,1.0,0.6666666666666666,4.230758725226485,Tier 2 (corroborated)
RPSAP47,40S ribosomal,0.0519048115644124,-0.9692814153279932,3,1.0,I_conserved_low_het,True,0.1802990740193118,0.0,,0.06961539167373125,1.0,1.0,0.2704486110289677,0.0,1.0,0.0,4.214935701242263,Tier 2 (corroborated)
