gene_symbol,n_contexts,mean_log2fc,direction_consistency,n_positive_contexts,n_negative_contexts,pooled_log2fc_meta,meta_FDR,meta_k_studies,log2fc_GSE185520_D9muD10mu_18hr,log2fc_GSE185520_WT_18hr,log2fc_GSE185520_WT_6hr,log2fc_GSE278320_VacV,log2fc_GSE284044_6hpi,log2fc_GSE287860_M003,log2fc_GSE288000_NTC,meta_sig,evidence_score
RPL39L,7,-0.7963514628218199,0.8571428571428571,1,6,-0.3957360376973486,0.4276608254650871,4,-1.1250683681734042,-2.779394674757589,-0.1466890811043144,-1.2505136023638312,-0.139766029869729,-0.3243761025066616,0.1913476190227901,False,6.2692965902772455
RPL13AP5,6,-1.0134876738851435,1.0,0,6,-0.5295960387050174,0.1234700633179984,3,-1.5313157235560082,-2.0680628862782915,-0.20309492966310108,-1.4804805898364788,,-0.31584565083196,-0.4821262631450211,False,6.264798019352509
RPL8,7,-1.0379714451463804,0.8571428571428571,1,6,-0.3850772652346185,0.2452996770997371,4,-1.32837384760252,-3.1053178259875147,-0.21334096736374608,-2.2482275495588206,-0.366213978050735,0.0153814525028403,-0.019707399964167,False,6.263967204045881
RPSA,7,-0.7009123060696635,0.8571428571428571,1,6,-0.3722024829695834,0.3554346247021911,4,-0.5291668253230898,-2.2696641582562616,-0.13220972716673624,-1.8692242847560416,-0.348877797451642,-0.0023921419367428,0.2451487924028696,False,6.257529812913363
RPL36,7,-0.8959500822254591,0.8571428571428571,1,6,-0.3694333382897581,0.3348037354836579,4,-1.3160467996818317,-2.7059300429089745,-0.25057033864085426,-1.8221747584760204,-0.294244774135425,-0.0690853244185602,0.1864014626834522,False,6.25614524057345
EIF3H,7,-0.774597881548109,0.8571428571428571,1,6,-0.36753337072138,0.1362197160632433,4,-0.6189895236412505,-2.869443036640047,-0.07455307121062227,-1.4122132355481232,0.0076388267981981,-0.2394418249142277,-0.2151833056806907,False,6.2551952567892615
RPS3A,6,-1.0589778569406174,1.0,0,6,-0.4704559536099072,0.0719736623184809,3,-1.3870385870633648,-2.7028746019229266,-0.18934477836216673,-1.3496427999389784,,-0.2076935152657931,-0.5172728590904732,False,6.235227976804953
RPL5,7,-0.736723023214123,0.8571428571428571,1,6,-0.2964370690161125,0.2564280736939399,4,-0.4851317695000741,-2.932796040897015,-0.1791048577648196,-1.334228238999401,0.0964754781089688,-0.2408393877282305,-0.0814363457182903,False,6.219647105936628
RPS21,7,-0.819039434846946,0.8571428571428571,1,6,-0.2674472403674605,0.3160963454151966,4,-1.382141999035768,-2.3519958452290615,-0.11688510164520655,-1.1817281505079786,-0.627437337581355,-0.0966962349689786,0.0236086250397257,False,6.205152191612301
DDX17,7,-0.1437422466950439,0.8571428571428571,1,6,0.2445886816531284,0.6589603951739562,4,-0.9525465852328026,-1.613639618613545,-0.0373957650895126,2.354269482597309,-0.0229973975330894,-0.1737334472476655,-0.560152395746001,False,6.193722912255136
RPL37,7,-0.6224538076208298,0.8571428571428571,1,6,-0.2223827584892231,0.5796392305714857,4,-1.1472953464941789,-2.1994608491845664,-0.13915694097329506,0.5651841399334386,-0.437547789711208,-0.3594222529097204,-0.6394776140062781,False,6.182619950673183
RPL35,7,-0.8879706146027136,0.8571428571428571,1,6,-0.221114234442368,0.4843539702078027,4,-1.7234048345933481,-2.7716384164227548,-0.3246179200398243,-1.1572433680542404,-0.297127674263561,0.0636842823496821,-0.0054463711949478,False,6.181985688649755
EIF2S3,7,-0.671780042784795,0.8571428571428571,1,6,-0.1485799107098792,0.6953957072144745,4,-1.47348530657914,-2.471928386260544,-0.09132343128201667,-0.6773798064394962,-0.105098562681463,0.2111764196554217,-0.0944212259063264,False,6.145718526783511
RPL26,7,-0.48725341071309647,0.8571428571428571,1,6,0.1428916711659957,0.7782972598105349,4,-1.1743055048179316,-2.742629398375554,-0.20747053162763623,1.218991151362814,-0.117823579543319,-0.2074797354853674,-0.1800562765046807,False,6.142874407011569
RPS15A,7,-0.3926609173403963,0.8571428571428571,1,6,0.140500123746279,0.8177129486541131,4,-0.6510502590628905,-2.471676472681717,-0.20191939114838953,1.3056600639873637,-0.441094300183366,-0.1837540660140738,-0.1047919962797015,False,6.14167863330171
RPS29,7,-0.6583919370948842,0.8571428571428571,1,6,-0.1056007279480391,0.6429301028419638,4,-1.7891451691529645,-1.9268473227166025,-0.14787013885202097,-0.1623182409699894,-0.568840387557342,-0.1394362012247998,0.1257139008095306,False,6.1242289354025905
EIF3G,7,-0.8975392152981098,0.8571428571428571,1,6,-0.0442947832551422,0.6973836714671691,4,-2.061016281280353,-3.4485267492097256,-0.18238702587772077,-0.5378773532102249,-0.046002957772423,-0.040608257296041,0.0336441175597204,False,6.093575963056142
RPS6KL1,7,0.14317913334562,0.7142857142857143,5,2,0.892849157542688,0.0958995761224463,4,-1.0493150344637179,-1.4696679304782798,0.12516428413387398,0.8433111563455399,0.361239767746686,0.4564597093000482,1.7350619808351893,False,6.0892817216284865
RPS27L,7,-1.0175173769253256,0.8571428571428571,1,6,-0.0256432723934402,0.8798298605693328,4,-1.8372031404983995,-4.298092898787052,-0.32196852066183546,-0.4941005747530408,-0.165471389204498,0.0555195985552989,-0.0613047131277519,False,6.084250207625291
EIF4A2,7,-0.19960979139272608,0.8571428571428571,1,6,0.0050217405143052,0.979742127954906,4,-0.22074540825476963,-1.3258255811972555,-0.0005032963805691521,0.301854850156218,-0.0167380052566566,-0.1019836999893681,-0.0333273988266813,False,6.073939441685724
RPL41,6,-0.8986429517211502,1.0,0,6,-0.1319669199843637,0.3198431031831186,3,-1.1711050233609646,-2.9273345065850243,-0.33611388453931634,-0.7400201200170147,,-0.0935683727524838,-0.1237158030720982,False,6.065983459992182
EIF4A1,7,-0.05423732555318171,0.7142857142857143,2,5,0.7161342549157353,0.287172503516674,4,-0.7448849549532114,-3.231677395548099,-0.09656744055317078,3.528223314647347,-0.0170786580870572,0.3093185019291856,-0.126994646307266,False,6.00092427031501
RPL23P8,5,-1.6186683892217686,1.0,0,5,-0.9750542526685462,0.2307365672769706,2,-1.3990515706130584,-3.7943515670517827,-0.22564213413913636,-1.9952653576899904,,-0.6790313166148757,,False,5.987527126334273
