gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,is_translation_factor
LRIG1,LRIG1,274.507469459527,-1.63729691426778,0.53966037190169,-3.03393949142155,0.0024138283860218,0.150624378408808,False,False
LOC103243439,LOC103243439,259.653796398424,-0.986945148937999,0.325434146598442,-3.03270311137879,0.0024237392663793,0.150624378408808,False,False
LOC103221972,LOC103221972,1336.88297623537,-0.719201415094298,0.237842346493514,-3.02385771792707,0.0024957378348799,0.154164432282283,False,False
SLC20A1,SLC20A1,646.269687900673,1.24007246873581,0.410581980170513,3.02027981895556,0.0025254125159321,0.155063352924364,False,False
NOC3L,NOC3L,447.464274153474,0.788881438493919,0.26181088152,3.01317284413044,0.0025853162454901,0.157796623697953,False,False
TMEM59,TMEM59,655.471435102178,-0.552066567978692,0.18360254119386,-3.00685690072113,0.002639639896485,0.158285774845369,False,False
ITGB8,ITGB8,279.271958685536,0.819063946018713,0.272284843304641,3.00811435582669,0.0026287420034039,0.158285774845369,False,False
LOC119620791,LOC119620791,217.757550639763,-1.37980198447131,0.458525300326392,-3.00921668551141,0.002619222372649,0.158285774845369,False,False
LYST,LYST,239.268117678969,0.56341034257952,0.187514813136296,3.00461778542266,0.0026591477659953,0.15852849530533,False,False
COX5B,COX5B,777.311611879516,-0.540853235186704,0.180421613515884,-2.99771864715693,0.0027200866213198,0.161224093728401,False,False
ATR,ATR,415.049690208826,0.891776258775832,0.298195544074719,2.99057540092678,0.0027845237491842,0.163402479587637,False,False
NKTR,NKTR,790.814431564738,0.475502552711651,0.159024755138158,2.9901165532281,0.0027887101548504,0.163402479587637,False,False
PRPSAP1,PRPSAP1,381.586241985915,-0.633502485121942,0.212323042190652,-2.98367279681824,0.0028481116498784,0.165934868510533,False,False
BTF3L4,BTF3L4,169.049024800986,0.773930499027036,0.259571452342539,2.98157016899429,0.0028677431972667,0.16613468217386,False,False
LOC119619088,LOC119619088,180.292384368476,1.811004539219,0.609152699137979,2.97298943562391,0.0029491460180789,0.169890692524615,False,False
DIS3,DIS3,317.936287209037,0.577926673686968,0.194648306880049,2.96908143179027,0.0029869143075656,0.170871699944105,False,False
RRP15,RRP15,161.22344968958,0.875922914126825,0.295143274551577,2.96778883224647,0.0029995032172751,0.170871699944105,False,False
BDP1,BDP1,1204.48984110084,0.580752387063114,0.195834755447732,2.9655225689401,0.0030216917348212,0.17118467982794,False,False
CHD1,CHD1,915.729881911442,0.457845563067205,0.154665767000311,2.96022560096498,0.0030741383697545,0.172252540128214,False,False
RAB5B,RAB5B,622.718839200288,-0.635813069692397,0.214746390454166,-2.96076254575324,0.0030687843831909,0.172252540128214,False,False
MAF1,MAF1,935.047259619972,-0.658185917179872,0.222870736261155,-2.953218211693,0.0031447957632679,0.173369547078224,False,False
AASDHPPT,AASDHPPT,232.063636051103,0.577368028623146,0.195442485420408,2.95415823934696,0.0031352320013196,0.173369547078224,False,False
TP53RK,TP53RK,159.918656819505,0.869836748604152,0.294502420893733,2.95358097894218,0.0031411018531608,0.173369547078224,False,False
LOC103222014,LOC103222014,587.430571705275,-0.718203952164427,0.244234905231398,-2.9406278004529,0.0032754785079716,0.179608324175089,False,False
OSBPL11,OSBPL11,242.447996286839,0.688588374744338,0.235343945913004,2.92588097846748,0.0034348232063611,0.185741843107454,False,False
TEF,TEF,153.163762052049,-1.21613209277604,0.415435256888716,-2.92736851918615,0.0034184356441461,0.185741843107454,False,False
MARCHF8,MARCHF8,270.504715965224,-0.71644236945551,0.244915724245018,-2.92526080823936,0.0034416764375284,0.185741843107454,False,False
KDM3A,KDM3A,675.318108627043,-0.465468566126828,0.159214700489297,-2.92352756809739,0.0034608957716713,0.185801179281243,False,False
LOC103235515,LOC103235515,182.072771365251,0.979154756970492,0.335344794500996,2.91984480757337,0.0035020573686061,0.187031751342123,False,False
WRN,WRN,408.390888053179,0.627806776152569,0.215758964261145,2.90975987163481,0.003617065423927,0.192172999258798,False,False
ASXL1,ASXL1,528.272365842528,-0.568751817708607,0.195925808681679,-2.90289381238517,0.0036973197783995,0.195424314472729,False,False
