gene_symbol,NTC,N4BP1,ZC3H12A,TRIM25,ZC3H12A_N4BP1,mean_log2FoldChange,direction_consistency
DDX17,-0.560152395746001,-0.23713347619534794,-0.2330321591713316,-0.35814890744634575,-0.03175734281770786,-0.2840448562753468,1.0
RPL23AP65,-0.4608102179667574,0.44227786040721195,-0.33070800413061063,,-0.8577684310293169,-0.30175219817986826,0.75
RPS23P8,-0.0321969986644681,-0.1429736066085934,-0.49204180261264785,-0.19452894129439477,-0.6498090898485148,-0.30231008780572377,1.0
EIF1P4,-0.7432720525343316,0.1954640229315024,,-0.40293096825562236,,-0.3169129992861505,0.6666666666666666
EIF2S3B,0.13339696527555014,0.2273483109258217,-1.7616175848588207,0.197554523700232,-0.3886123635958688,-0.3183860297106171,0.6
EIF4B,-0.6136411850762195,-0.2867213666942966,-0.31603165016441026,-0.537153956511734,0.1100358926677447,-0.3287024531557831,0.8
RPL3P2,-0.21427323402928974,-0.157081102825398,-0.7092218670426296,-0.1848400104496113,-0.4193654352078782,-0.33695632991096136,1.0
RPS3AP21,0.3111041666873454,-0.34100984584609917,-2.0053788323104964,-0.17827310309154004,0.5271873371398966,-0.3372740554841787,0.6
RPL12P6,-0.42864938172230266,,,-0.2594584742894227,,-0.34405392800586265,1.0
DDX11,-0.62754344144796,-0.5307102318829662,-0.12640409459972532,-0.40845124895467144,-0.07628688733075266,-0.3538791808432152,1.0
EIF2D,-0.6334870115498271,-0.3817999940101946,-0.23785413904615516,-0.37602453809664516,-0.1470435257184192,-0.3552418416842482,1.0
RPL39P36,-0.7599557912655154,0.22886223850609738,,-0.10082962607194293,-0.8180079857607933,-0.36248279114803855,0.75
EIF3FP3,-0.5278731609870918,-0.25708763891293507,-0.4951721987177758,-0.6580620088762942,-0.018103932402904546,-0.3912597879794003,1.0
RPL21P75,-0.86184370048503,-0.40810759404199565,-0.16241051090457811,-0.5417824769797643,-0.02662317739327351,-0.4001534919609283,1.0
RPL15P18,-0.03749432769170519,0.21560922841947772,-0.7427404166588737,-0.31364367180806607,-1.1544403357150064,-0.4065419046908347,0.8
RPS28P4,-0.04062864539400978,-0.7824781906035929,-1.0043923521853109,-0.5054941768843761,0.24989318632206015,-0.41662003574904594,0.8
RPS27,-1.0960655713126202,-0.07471483051615577,-0.6320914145670149,-0.16849097545556574,-0.11289167684143744,-0.41685089373855877,1.0
RPS27AP7,1.3119596099735524,-0.700770575670734,-0.8598122527393653,0.28109303723850226,-2.1311700683975734,-0.4197400499191236,0.6
RPS20P33,-0.49612944662398295,-0.17835956834112393,0.7514276413668374,-1.2304416333084123,-1.033683757839582,-0.43743735294925273,0.8
EIF4BP6,-0.971551949058732,-0.3088868720935066,-0.49101341831178147,-0.7482105282706034,0.14212916811217466,-0.47550671992448984,0.8
RPS4XP6,,-0.5887894650085471,-0.9081202747693102,0.06340413887111003,,-0.4778352003022491,0.6666666666666666
EIF3LP2,0.6413165887769627,-1.9367717486087284,-1.374825936610704,-0.19328242718557495,0.4318979752903864,-0.4863331096675316,0.6
RPL28P2,-0.7637681572434767,-0.8218255934400988,0.6778909148205257,-1.757236782285032,0.06691912914537668,-0.5196040978005411,0.6
RPL31P49,-0.5949228330294776,-0.4049550454668351,-0.3880394855673963,-0.7105812834563429,-0.6041922556561855,-0.5405381806352475,1.0
EIF2B5-DT,-0.7100685404074516,-0.25002578516846646,0.20179887545795658,-1.3893941810393025,-0.5997279554178722,-0.5494835173150272,0.8
RPL29P11,-0.23723990885638394,-0.5166835250685125,-1.0100775458659963,0.12538903560786796,-1.1105371020915136,-0.5498298092549077,0.8
RPS15AP10,-2.620053231249009,-0.648601262189564,0.6140709254812928,0.3226889769552608,-0.5195824833046472,-0.5702954148613333,0.6
EIF3J-DT,-1.0337258546394479,-0.6153857117636483,-0.27186991734200966,-0.7881966709720977,-0.22835490760823476,-0.5875066124650876,1.0
RPL21P44,,-1.264714331410087,0.057243431552179515,-0.5942333610036599,,-0.6005680869538558,0.6666666666666666
RPL5P23,-0.9188731189079217,-3.3460409612517936,0.38925684340676836,-0.024592764798391308,0.7656382923858355,-0.6269223418331006,0.6
RPL7AP10,-1.3358311623192918,-1.8144156159583193,0.11715056390636092,-1.3758195035019916,1.1640233725745874,-0.6489784690597309,0.6
RPL13AP6,,-0.6575377348441819,,,,-0.6575377348441819,1.0
RPS15AP36,-1.139436892614346,-0.9099309614936779,,-0.3286780279253886,-0.26667689430375646,-0.6611806940842923,1.0
RPL34-DT,-1.1057542879291355,-0.23129394911004786,0.230583464381759,-1.1683171472221765,-1.1512504792971756,-0.6852064798353552,0.8
RPL10AP2,1.0784284194501006,-1.9463879509552515,-1.267314614618926,,,-0.7117580487080257,0.6666666666666666
EIF2S2P3,,-1.3644650231936084,,-0.06811441947283985,,-0.7162897213332241,1.0
RPS4XP11,,-0.7426402718332192,,,,-0.7426402718332192,1.0
RPL31P63,-2.3825524812544288,-0.22842741238788428,-1.3756684133781445,0.2732642175681402,-0.2028480180258355,-0.7832464214956306,0.8
RPL32P2,,,,-0.7893515068033948,,-0.7893515068033948,1.0
RPL7AP2,,-1.1667112810870455,-1.303934847099225,,-0.08627358004083335,-0.8523065694090346,1.0
RPS3AP5,-0.6251909305857545,-2.0466389200819424,-1.177285186450734,-0.1362262937640628,-0.33886348360623963,-0.8648409628977467,1.0
RPL7P32,,,-0.7364884456374345,-2.140563212826725,0.17892415551735924,-0.8993758343156001,0.6666666666666666
RPS29P16,-2.2311463617466956,0.08928558470459726,0.38743117618797035,-2.177950259313375,,-0.9830949650418757,0.5
RPSAP47,-0.7856674006336481,,,,-1.2495262150212045,-1.0175968078274265,1.0
RPS6KA5,-1.66177615738247,-0.6970687657877718,-1.6395223739930296,-1.545894177351163,0.15397029505758164,-1.0780582358913704,0.8
RPL31P52,-1.104034854039197,,,,,-1.104034854039197,1.0
DDX50P1,-0.5403300278793092,-0.9189688148503896,-1.8969465471610312,-1.3679903256954051,-1.1656762729778138,-1.1779823977127897,1.0
RPL22P3,,,,,-1.1891130321336723,-1.1891130321336723,1.0
EIF4EP1,,-1.1917795512804303,,,,-1.1917795512804303,1.0
RPS3AP38,-1.0549006089263944,-1.2565415088685015,-1.7361289531397193,-0.9614289410881519,-1.145893831263793,-1.230978768657312,1.0
RPL21P11,,,,,-1.2395515439039468,-1.2395515439039468,1.0
